iter	Passed	Remaining
0	96	145335
1	172	129047
2	259	129589
3	337	126122
4	419	125510
5	511	127242
6	578	123316
7	712	132864
8	795	131736
9	883	131679
10	956	129450
11	1034	128288
12	1128	129065
13	1255	133220
14	1386	137311
15	1452	134687
16	1572	137145
17	1676	138008
18	1800	140343
19	1859	137618
20	1929	135885
21	2001	134482
22	2113	135728
23	2232	137281
24	2302	135839
25	2379	134878
26	2526	137833
27	2635	138533
28	2758	139942
29	2848	139562
30	2981	141306
31	3111	142726
32	3212	142791
33	3310	142729
34	3393	142050
35	3499	142326
36	3605	142575
37	3690	142005
38	3770	141258
39	3879	141590
40	3955	140759
41	4072	141382
42	4176	141504
43	4301	142344
44	4423	143031
45	4558	144078
46	4644	143571
47	4766	144194
48	4870	144227
49	4955	143711
50	5060	143763
51	5178	144190
52	5273	143964
53	5353	143350
54	5487	144166
55	5588	144098
56	5675	143688
57	5754	143070
58	5884	143725
59	6000	144010
60	6115	144271
61	6268	145394
62	6394	145853
63	6524	146396
64	6599	145686
65	6683	145221
66	6779	144998
67	6907	145467
68	7019	145573
69	7138	145829
70	7236	145650
71	7327	145333
72	7417	144999
73	7515	144830
74	7632	145022
75	7738	144988
76	7836	144817
77	7946	144866
78	8044	144694
79	8115	144053
80	8206	143761
81	8288	143330
82	8367	142850
83	8502	143328
84	8580	142834
85	8684	142790
86	8765	142366
87	8871	142349
88	8998	142659
89	9083	142307
90	9194	142358
91	9271	141892
92	9413	142411
93	9519	142394
94	9605	142059
95	9699	141856
96	9803	141798
97	9919	141905
98	10009	141655
99	10117	141640
100	10195	141225
101	10268	140740
102	10365	140587
103	10450	140275
104	10576	140516
105	10674	140374
106	10785	140417
107	10904	140548
108	10984	140181
109	11107	140355
110	11213	140320
111	11301	140057
112	11443	140459
113	11561	140562
114	11697	140874
115	11797	140758
116	11904	140716
117	11986	140386
118	12099	140411
119	12232	140669
120	12324	140457
121	12448	140609
122	12564	140665
123	12654	140424
124	12753	140290
125	12847	140095
126	12957	140082
127	13036	139737
128	13110	139340
129	13202	139136
130	13277	138752
131	13385	138719
132	13459	138336
133	13533	137964
134	13649	138009
135	13757	137979
136	13856	137860
137	13954	137725
138	14035	137423
139	14129	137254
140	14215	137012
141	14321	136962
142	14454	137166
143	14564	137145
144	14677	137163
145	14757	136861
146	14827	136473
147	14942	136503
148	15049	136454
149	15139	136253
150	15243	136180
151	15388	136467
152	15487	136347
153	15575	136129
154	15710	136324
155	15816	136262
156	15907	136073
157	15994	135847
158	16086	135673
159	16175	135470
160	16253	135172
161	16379	135282
162	16532	135604
163	16617	135373
164	16705	135159
165	16785	134889
166	16888	134805
167	16966	134522
168	17053	134310
169	17194	134521
170	17285	134340
171	17373	134138
172	17447	133834
173	17560	133823
174	17663	133737
175	17805	133946
176	17949	134166
177	18031	133916
178	18104	133612
179	18210	133544
180	18300	133358
181	18332	132759
182	18471	132931
183	18604	133061
184	18685	132820
185	18767	132581
186	18860	132426
187	18992	132542
188	19075	132318
189	19177	132223
190	19270	132068
191	19354	131851
192	19493	132007
193	19593	131901
194	19692	131785
195	19778	131587
196	19902	131640
197	20035	131749
198	20163	131824
199	20318	132071
200	20405	131876
201	20492	131679
202	20580	131492
203	20715	131606
204	20793	131351
205	20892	131236
206	21025	131334
207	21161	131443
208	21272	131401
209	21378	131326
210	21420	130858
211	21508	130671
212	21578	130380
213	21666	130199
214	21792	130248
215	21868	129998
216	21954	129803
217	22096	129944
218	22179	129737
219	22273	129590
220	22388	129568
221	22466	129333
222	22550	129136
223	22684	129221
224	22731	128810
225	22812	128597
226	22937	128631
227	23043	128558
228	23160	128545
229	23266	128469
230	23383	128456
231	23472	128291
232	23550	128062
233	23658	127998
234	23759	127896
235	23845	127713
236	23957	127673
237	24077	127669
238	24156	127454
239	24259	127359
240	24354	127231
241	24424	126964
242	24552	127004
243	24624	126755
244	24763	126849
245	24863	126745
246	24931	126474
247	25033	126379
248	25130	126259
249	25235	126178
250	25314	125967
251	25433	125955
252	25560	125983
253	25698	126063
254	25789	125911
255	25916	125940
256	26044	125967
257	26148	125875
258	26248	125770
259	26333	125591
260	26464	125631
261	26565	125525
262	26644	125322
263	26786	125411
264	26870	125228
265	27006	125285
266	27098	125139
267	27228	125167
268	27334	125087
269	27406	124850
270	27477	124611
271	27578	124509
272	27694	124473
273	27800	124393
274	27914	124347
275	28043	124366
276	28145	124268
277	28244	124153
278	28338	124017
279	28465	124027
280	28540	123810
281	28674	123848
282	28782	123776
283	28873	123629
284	28964	123478
285	29040	123267
286	29121	123080
287	29216	122953
288	29324	122879
289	29415	122732
290	29532	122697
291	29607	122487
292	29695	122328
293	29785	122182
294	29864	121987
295	29938	121776
296	30007	121545
297	30092	121380
298	30205	121325
299	30298	121192
300	30384	121031
301	30473	120886
302	30592	120854
303	30715	120840
304	30782	120606
305	30853	120387
306	30963	120323
307	31044	120145
308	31120	119950
309	31204	119783
310	31293	119638
311	31378	119480
312	31459	119305
313	31579	119276
314	31672	119147
315	31750	118962
316	31854	118875
317	31944	118735
318	32026	118569
319	32105	118387
320	32191	118237
321	32275	118077
322	32354	117898
323	32443	117756
324	32579	117788
325	32666	117639
326	32790	117624
327	32876	117472
328	32979	117384
329	33060	117213
330	33188	117213
331	33304	117168
332	33403	117064
333	33482	116886
334	33588	116807
335	33662	116617
336	33746	116461
337	33843	116348
338	33929	116200
339	34016	116057
340	34131	116006
341	34213	115845
342	34313	115746
343	34449	115767
344	34554	115683
345	34632	115508
346	34764	115513
347	34886	115484
348	34995	115414
349	35102	115335
350	35194	115210
